Title,Organization,RFP_No,Contract_Val,Contract_Type,Service,Comp_Type,NAICS,Priority
TECHNICAL ANALYTICAL AND TRAINING PROGRAM MANAGEMENT,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018912R0072,2493,Firm Fixed Price,"Management, Scientific, and Technical Consulting Services",8(a) Set-Aside,541990,1
TECHNICAL AND ADMINISTRATIVE DATA ANALYSIS AND OPERATIONAL SUPPORT SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,2076,Firm Fixed Price,Administrative / Logistics / Support,Small Bus Set-Aside,541611,2
TECHNICAL AND ADMINISTRATIVE SUPPORT SERVICES FOR THE PROTOYPE FABRICATION SHOPS PANAMA CITY FL,NAVY/NAVAL SEA SYSTEMS COMMAND,N0002412R3116,6952,Cost Plus Fixed Fee,Professional Services,Other,541330,1
TECHNICAL AND ADVISORY SERVICES FOR DEPARTMENT OF STATE PROGRAM EVALUATION REQUIREMENTS,STATE/BUREAU OF ADMINISTRATION (CODE A),SAQMMA11R0314,125000,Cost Plus Fixed Fee,Program/Project Management,Small Bus Set-Aside,541611,5
TECHNICAL AND ANALYTICAL SUPPORT FOR THE US AIR FORCE DEPUTY CHIEF OF STAFF FOR STRATEGIC PLANS AND PROGRAMS,AIR FORCE/OFFICE OF THE CHIEF OF STAFF OF THE AIR FORCE,D13PS00496,25000,Indefinite Delivery Indefinite Quantity,Planning & Analysis,Undetermined,541990,2
TECHNICAL AND MANAGEMENT SUPPORT SERVICES FOR THE PROCESS INTEGRATION SYSTEM,STATE/BUREAU OF ADMINISTRATION (CODE A),,650,Firm Fixed Price,Administrative / Logistics / Support,Small Bus Set-Aside,541690,1
TECHNICAL AND OPERATIONS SUPPORT FOR HAZARDOUS MATERIALS INFORMATION RESOURCE SYSTEM,DEFENSE/DEFENSE LOGISTICS AGENCY,RFIBC11001,2747,Blanket Purchase Agreement,Asset Management,Undetermined,511210,1
TECHNICAL AND PROGRAM MANAGEMENT ACQUISITION SUPPORT,AIR FORCE/AIR FORCE MATERIEL COMMAND,RFQ794002,460,Firm Fixed Price,"Management, Scientific, and Technical Consulting Services","Small Bus Set-Aside,Other",541990,1
TECHNICAL AND PROGRAM MANAGEMENT SUPPORT SERVICES FOR THE ARMY NATIONAL GUARD,ARMY/NATIONAL GUARD BUREAU,W9133L13R0016,30000,Indefinite Delivery Indefinite Quantity,Professional Services,Full and Open / Unrestricted,611710,1
TECHNICAL ASSISTANCE FOR REPAIRABLE PROCESSING SERVICES,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,,47008,Cost Plus Fixed Fee,Administrative / Logistics / Support,Full and Open / Unrestricted,541611,1
TECHNICAL CONSULTING SUPPORT,"ARMY/ASST SEC FOR ACQUISITION, LOGISTICS AND TECHNOLOGY",W91QV112T0038,0,Firm Fixed Price,Administrative / Logistics / Support,8(a) Set-Aside,541611,1
TECHNICAL INFRASTRUCTURE AND ARCHITECTURE BUSINESS CYCLE TEAM SUPPORT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,,12685,Indefinite Delivery Indefinite Quantity,Administrative / Logistics / Support,8(a) Set-Aside,541614,3
TECHNICAL LOGISTIC AND OPERATIONAL SUPPORT SERVICES,NAVY/NAVAL AIR SYSTEMS COMMAND,N0002412R3083,51093,Cost Plus Fixed Fee,Professional Services,Other,541330,1
TECHNICAL MANAGEMENT ANALYTICAL AND ADMINISTRATIVE SUPPORT SERVICES,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018914RQ001,97262,Firm Fixed Price,Management Consulting,Full and Open / Unrestricted,541611,1
TECHNICAL PROGRAM SUPPORT SERVICES FOR THE ONR OPERATIONS ANALYSIS PROGRAM,NAVY/OFFICE OF NAVAL RESEARCH,,1873,Cost Plus Fixed Fee,Outsourcing,Other,541330,1
TECHNOLOGIES AND METHODOLOGIES TO IMPROVE EXPEDITIONARY LOGISTICS AND APPLIES TO NAVY AND USMC FORWARD OPERATING ENVIRONMENTS,NAVY/NAVAL FACILITIES ENGINEERING COMMAND,N6258312R0755,0,Firm Fixed Price,Information Technology,Full and Open / Unrestricted,541712,1
THEATER CONCEPTS AND ANALYSIS,DEFENSE/US TRANSPORTATION COMMAND,,8910,Firm Fixed Price,Professional Services,Other,541611,1
THEATER DISTRIBUTION ANALYSIS FOR DEFENSE LOGISTICS AGENCY OFFICE OF OPERATIONS RESEARCH AND RESOURCE ANALYSIS,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470310R0001,11003,Firm Fixed Price,Professional Services,Service Disabled Veteran Owned Small Business,541611,5
THEATER DISTRIBUTION ANALYSIS FOR DEFENSE LOGISTICS AGENCY OFFICE OF OPERATIONS RESEARCH AND RESOURCE ANALYSIS,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470313R0008,15000,Firm Fixed Price,Program/Project Management,Service Disabled Veteran Owned Small Business,541611,5
THIRD PARTY LOGISTICS INVENTORY MANAGEMENT AND POINT OF SALE TRANSACTIONS FOR FACILITY REPAIRS AND MAINTENANCE AND VEHICLE REPAIRS AND MAINTENANCE MATERIALS,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0040613R3019,0,Firm Fixed Price,Administrative / Logistics / Support,Small Bus Set-Aside,561210,3
TIER I AND TIER II HELP DESK SUPPORT SERVICES FOR DEFENSE SUPPLY CENTER DLA COLUMBUS,DEFENSE/DEFENSE LOGISTICS AGENCY,SP470114R0028,4083,Firm Fixed Price,Outsourcing,8(a) Set-Aside,541512,5
TOTAL APPLICATION SERVICES FOR ENTERPRISE REQUIREMENTS,DEFENSE/NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,HM157209R0003,1000000,Cost Plus Award Fee,Application Ops / Management,Other,541512,2
TOTAL APPLICATION SERVICES FOR ENTERPRISE REQUIREMENTS,DEFENSE/NATIONAL GEOSPATIAL-INTELLIGENCE AGENCY,,1000000,Cost Plus Award Fee,Application Ops / Management,Undetermined,541512,2
TOTAL DISTRIBUTION PROCESS IMPROVEMENT,DEFENSE/US TRANSPORTATION COMMAND,HTC71112ZD03,0,Task Order,Management Consulting,Undetermined,541614,3
TOTAL ENGINEERING AND INTEGRATION SERVICE IV,ARMY/ARMY MATERIEL COMMAND,,892000,Cost Reimbursement,System Design and Architecture,Full and Open / Unrestricted,541512,1
TOTAL PROCESS IMPROVEMENT SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,HTC71112QD041,13415,Labor Hour,ERP / Supply Chain Management,Full and Open / Unrestricted,541611,1
TOTAL PROCESS IMPROVEMENT SUPPORT,DEFENSE/US TRANSPORTATION COMMAND,,13415,TBD,ERP / Supply Chain Management,Undetermined,541611,1
TRANSFORMATION TWENTY ONE TOTAL TECHNOLOGY ON RAMP,VETERANS AFFAIRS/MANAGEMENT,VA11813R0042,12000000,Cost Reimbursement,IT Professional Services,Veteran Owned Small Business,541512,1
TRANSITION PROJECT MANAGEMEMT AND ANALYTICAL SUPPORT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330011Q0084,1250,Firm Fixed Price,Project Management,Other,541611,2
TRANSITION PROJECT MANAGEMEMT AND ANALYTICAL SUPPORT SERVICES,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330012Q0057,1217,Firm Fixed Price,Project Management,Other,541611,4
TWHS ENDURING CAPABILITY,DEFENSE/WASHINGTON HEADQUARTERS SERVICE,RFIHQ0034TWHS2013,0,TBD,Management Consulting,Undetermined,541611,3
UNITED STATES EUROPEAN COMMAND JOINT TRAINING READINESS AND EXERCISE DIVISION ANALYSIS SUPPORT SERVICES,DEFENSE/US EUROPEAN COMMAND,,6426,Cost Reimbursement,Management Consulting,Full and Open / Unrestricted,541611,2
US ARMY COMMUNICATIONS ELECTRONICS COMMAND ENTERPRISE SOLDIER AVIATION DIRECTORATES ARMY G4 LOGISTICS PROCESS AND ANALYTICAL SUPPORT,ARMY/ARMY MATERIEL COMMAND,W909MY12G4LOGISTICS,0,TBD,Administrative / Logistics / Support,Other,541990,2
US ARMY LOGISTICS INNOVATION AGENCY KNOWLEDGE MANAGEMENT INITIATIVE,ARMY/CHIEF OF STAFF OF THE ARMY,W15QKN12SDM02,0,TBD,Management Consulting,Undetermined,541614,2
US BICES X INFORMATION TECHNOLOGY SUPPORT SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,FA824013R2700,437409,TBD,Information Technology,Undetermined,541512,1
USFF N82 BMDI AMD AND N83 OLWMOC SUPPORT,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0002414R3314,2389,Firm Fixed Price,Professional Services,Small Bus Set-Aside,541990,1
USMC LOGISTICS COMMAND TECHNICAL SUPPORT,MARINE CORPS/MARINE CORPS LOGISTICS COMMAND,4QHO17138008,0,Time and Materials,Administrative / Logistics / Support,Undetermined,541614,1
VA ENTERPRISE NETWORK VULNERABILITY SCANNING TOOL,VETERANS AFFAIRS/OFFICE OF INFORMATION AND TECHNOLOGY,107048,0,TBD,IT Professional Services,Undetermined,,4
VIRTUAL LIFETIME ELECTRONIC RECORD TECHNICAL MANAGEMENT SERVICES,VETERANS AFFAIRS,,0,TBD,Program/Project Management,Undetermined,,1
WAR RESERVE MATERIAL AND BASIC EXPEDITIONARY AIRFIELD RESOURCE SUPPORT,AIR FORCE/AIR COMBAT COMMAND,FA489012R0022,2650,Firm Fixed Price,"Management, Scientific, and Technical Consulting Services",8(a) Set-Aside,541611,1
WARFIGHTER MODELING SIMULATION ANALYSIS AND INTEGRATION SUPPORT,ARMY/ARMY SPACE & MISSILE DEFENSE COMMAND/ARMY FORCES STRATEGIC COMMAND,TBD,400000,Cost Plus Fixed Fee,Modeling / Simulation,Full and Open / Unrestricted,541712,1
WARGAMING ANALYTICAL AND TECHNICAL SUPPORT SERVICES,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018913RZ050,10189,Cost Plus Fixed Fee,Engineering / Scientific,Full and Open / Unrestricted,541330,3
WARSTOPPER PROGRAM UMBRELLA,DEFENSE/DEFENSE LOGISTICS AGENCY,,0,TBD,Defense & Aerospace,Undetermined,332721,2
WASHINGTON HEADQUARTERS SERVICES ACQUISITION DIRECTORATE ACQUISITION SUPPORT SERVICES,DEFENSE/OFFICE OF THE SECRETARY OF DEFENSE,,27074,Firm Fixed Price with Level of Effort,Administrative / Logistics / Support,8(a) Set-Aside,541611,1
WEAPON SYSTEM SUPPORT AND ANALYSIS TWO YEAR EFFORT,AIR FORCE/AIR FORCE MATERIEL COMMAND,FA820213R0553,3522,Cost Reimbursement,Engineering / Scientific,Small Bus Set-Aside,541330,1
WEAPONS DIVISION NONPERSONAL PROFESSIONAL ENGINEERING TECHNICAL AND MANAGEMENT SUPPORT SERVICES,NAVY/NAVAL SEA SYSTEMS COMMAND,N0002412R3402,25686,Cost Plus Fixed Fee,Professional Services,Other,541330,1
WEB GRAPHICS SUPPORT AND MAINTENANCE FOR THE CURRENT SPAWAR PUBLIC WEB SITE,NAVY/SPACE AND NAVAL WARFARE SYSTEMS COMMAND,,1940,Task Order,Application Ops / Management,Other,541330,5
WEB PORTAL INTERFACE SERVICES HOSTING AND SUPPORT,SOCIAL SECURITY ADMINISTRATION/BUDGET FINANCE AND MANAGEMENT,SSARFQ130073,2670,Task Order,IT Professional Services,Other,811212,5
WIRELESS TECHNOLOGY,DEFENSE/DEFENSE LOGISTICS AGENCY,SP330011SS5000,0,TBD,Wireless Networks,Undetermined,334210,5
WORLD CLASS MODELING AND SIMULATION SERVICES IN SUPPORT OF THE OFFICE OF THE CHIEF OF NAVAL OPERATIONS ASSESSMENT DIVISION,NAVY/NAVAL SUPPLY SYSTEMS COMMAND,N0018913RZ060,0,Cost Plus Fixed Fee,IT Professional Services,Full and Open / Unrestricted,541511,2
